author,idn,place,recipient,title,year,location,point,lat,lon
"Heilbut, Iwan",994439334,"New York, NY","Ogden, Archibald G.",Korrespondenz,1944-1944,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",994439547,"New York, NY","Armstrong, Hamilton Fish",Korrespondenz,1947-1947,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",994441096,"New York, NY","Haggard, Edith",Korrespondenz,1944-1944,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",994449178,"New York, NY","Danzoll, Francis S.",Korrespondenz,1949-1949,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",994459394,"New York, NY","Siemer, Heinrich",Korrespondenz,1948-1955,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",99448576X,"New York, NY","Alexander, R. T.",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",994637357,"New York, NY","Döblin, Alfred",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",994640501,"New York, NY","Dolle, Elisabeth",Korrespondenz,1946-1965,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",994659547,"New York, NY","Wenzel, ...",Korrespondenz,1949-1949,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",994684568,"New York, NY","Cady, Howard S.",Korrespondenz,1942-1955,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",994684916,"New York, NY","Dunay, Karl",Korrespondenz,1945-1945,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",994685246,"New York, NY","Dunay, Sigmund",Korrespondenz,1941-1945,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",994737998,"New York, NY","Eisenstaedt, Karl",Korrespondenz,1945-1966,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",99473834X,"New York, NY","Eisner, Bruno",Korrespondenz,1949-1949,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",998396605,"New York, NY","Schiebelhuth, Marie",Korrespondenz,1948-1950,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",998492736,"New York, NY","Schiff, ...",Korrespondenz,1943-1943,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",998513091,"New York, NY","Schnack, Anton",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",998513296,"New York, NY","Schnack, Friedrich",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",998514144,"New York, NY","Schneider, Georg",Korrespondenz,1948-1964,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",998515647,"New York, NY","Schneider, Reinhold",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",998519669,"New York, NY",,Korrespondenz,1945-1961,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",998568236,"New York, NY","Schönlank, Erich",Korrespondenz,1945-1959,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",998569097,"New York, NY","Schoepke, Helmut",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",998569240,"New York, NY","Schoeps, Hans-Joachim",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",998569402,"New York, NY","Schröder, Rudolf Alexander",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",998590142,"New York, NY","Schumacher, Hans",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",100089360X,"New York, NY","Scott, Tom",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",998726710,"New York, NY","Schweikart, Hans",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",998746320,"New York, NY","Seelmann, Kurt",Korrespondenz,1949-1950,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",998774162,"New York, NY","Sertorius, Lili",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",998778826,"New York, NY","Siegel, ...",Korrespondenz,1943-1943,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",998821659,"New York, NY","Heide, Heinrich",Korrespondenz,1945-1952,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",999238353,"New York, NY","Stech, Marianne",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",999238671,"New York, NY","Braun-Fernwald, Jella von",Korrespondenz,1943-1943,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",999246496,"New York, NY","Steinberg, Milton",Korrespondenz,1943-1943,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",999289675,"New York, NY","Steiner, Franz Baermann",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",999298860,"New York, NY","Sternthal, Friedrich",Korrespondenz,1949-1949,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",999318403,"New York, NY","Schwedhelm, Karl",Korrespondenz,1949-1963,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",999320769,"New York, NY","Süskind, Wilhelm E.",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",999320858,"New York, NY","Szyk, Arthur",Korrespondenz,1944-1944,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",999339613,"New York, NY","Taube, Otto von",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",999433989,"New York, NY","Treuenfels, Therese",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",999435973,"New York, NY","Ulbricht, Hanns",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",999439553,"New York, NY","Scholl, Inge",Korrespondenz,1948-1950,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",999444166,"New York, NY","Cohen, Myer",Korrespondenz,1946-1946,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",99944638X,"New York, NY","Bundy, Frederic O.",Korrespondenz,1946-1953,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",999471457,"New York, NY","Davis, Elmer",Korrespondenz,1944-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",999475916,"New York, NY","Hilldring, John A.",Korrespondenz,1946-1946,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",999476076,"New York, NY","Hilldring, John A.",Korrespondenz,1946-1946,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",999476521,"New York, NY","Unruh, Fritz von",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",999477366,"New York, NY","Usinger, Fritz",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",999502794,"New York, NY","Desch, Kurt",Korrespondenz,1948-1952,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",999509667,"New York, NY","Viertel, Berthold",Korrespondenz,1941-1941,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",99951007X,"New York, NY","Huebsch, B. W.",Korrespondenz,1944-1944,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",999535730,"New York, NY","Schöpfer, Siegfried",Korrespondenz,1949-1950,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",99954926X,"New York, NY","Rentschler, Hedwig Eleonore",Korrespondenz,1949-1968,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",999636383,"New York, NY","Schmücker, Irma",Korrespondenz,1949-1950,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",99963769X,"New York, NY","Walter, Helmut",Korrespondenz,1949-1950,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",999639323,"New York, NY","Vring, Georg von der",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",994851936,"New York, NY","Farau, Alfred",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",994860366,"New York, NY","Feder, Ernst",Korrespondenz,1942-1969,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",994867115,"New York, NY","Fischer, Hedwig",Korrespondenz,1947-1949,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",99486809X,"New York, NY","Flesch, Philipp",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",994868596,"New York, NY","Forell, Frederick J.",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",994914024,"New York, NY","Freund, Erich",Korrespondenz,1946-1946,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",994915764,"New York, NY","Wittig, Friedrich",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",995856710,"New York, NY","Gode, Alexander",Korrespondenz,1949-1950,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",995867208,"New York, NY","Goes, Albrecht",Korrespondenz,1948-1950,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",995868069,"New York, NY","Goll, Yvan",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
